/Users/luna/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-02-22 12:44:57,353 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:57,353 - INFO - [105/278] Investigation of the functional hot-spot residues of an enzyme by real...
2026-02-22 12:44:58,978 - INFO -   ✗ Rejected: No match
2026-02-22 12:44:58,978 - INFO - [106/278] Blind recognition of channel codes based on dual-branch feature fusion...
2026-02-22 12:45:00,830 - INFO -   ✗ Rejected: No match
2026-02-22 12:45:00,831 - INFO - [107/278] Collaborative harm reduction efforts lead to the first detection of 5-...
2026-02-22 12:45:02,623 - INFO -   ✗ Rejected: No match
2026-02-22 12:45:02,623 - INFO - [108/278] Efficacy and safety of cryoablation procedures using mouse models of b...
2026-02-22 12:45:04,330 - INFO -   ✗ Rejected: No match
2026-02-22 12:45:04,330 - INFO - [109/278] An AI-based algorithm for analyzing physical activity and health-relat...
2026-02-22 12:45:05,999 - INFO -   ✗ Rejected: No match
2026-02-22 12:45:05,999 - INFO - [110/278] The effect of preemptive use of nonsteroidal anti-inflammatory drug on...
